job,start_time,end_time,elapse,state,ip
mapping,58:59.2,59:38.8,39,COMPLETE,14.12.55.48
mapping,59:00.4,59:38.9,38,COMPLETE,14.12.48.93
mapping,59:02.6,59:38.7,36,COMPLETE,14.12.51.75
mapping,59:02.8,59:38.8,35,COMPLETE,14.12.49.82
mapping,59:05.1,59:39.0,33,COMPLETE,14.12.59.57
mapping,59:06.6,59:40.3,33,COMPLETE,14.12.29.114
mapping,58:57.8,59:41.7,43,COMPLETE,14.12.62.116
mapping,58:57.9,59:42.0,44,COMPLETE,14.12.21.117
mapping,58:58.1,59:41.7,43,COMPLETE,14.12.25.191
mapping,58:59.5,59:41.0,41,COMPLETE,14.12.63.164
mapping,59:09.9,59:42.0,32,COMPLETE,14.12.16.49
mapping,59:13.8,59:42.6,28,COMPLETE,14.12.60.221
mapping,59:14.1,59:42.0,27,COMPLETE,14.12.55.233
mapping,59:14.5,59:42.7,28,COMPLETE,14.12.27.33
mapping,59:14.5,59:42.2,27,COMPLETE,14.12.27.120
mapping,58:21.6,59:43.8,82,COMPLETE,14.12.59.30
mapping,58:21.5,59:43.5,81,COMPLETE,14.12.20.214
mapping,58:58.4,59:44.9,46,COMPLETE,14.12.59.211
mapping,58:58.6,59:43.8,45,COMPLETE,14.12.48.108
mapping,59:12.1,59:43.3,31,COMPLETE,14.12.18.169
mapping,59:13.5,59:44.9,31,COMPLETE,14.12.51.73
mapping,59:13.5,59:42.9,29,COMPLETE,14.12.60.36
mapping,59:15.2,59:45.0,29,COMPLETE,14.12.16.103
mapping,59:15.8,59:45.1,29,COMPLETE,14.12.17.173
mapping,59:17.3,59:45.0,27,COMPLETE,14.12.31.69
mapping,59:17.2,59:45.2,28,COMPLETE,14.12.23.245
mapping,59:17.8,59:44.9,27,COMPLETE,14.12.60.200
mapping,58:21.5,59:46.0,84,COMPLETE,14.12.29.14
mapping,58:21.6,59:46.0,84,COMPLETE,14.12.26.211
mapping,58:21.5,59:47.0,85,COMPLETE,14.12.59.108
mapping,58:57.6,59:46.1,48,COMPLETE,14.12.48.211
mapping,58:57.6,59:46.7,49,COMPLETE,14.12.63.104
mapping,58:57.7,59:46.2,48,COMPLETE,14.12.57.77
mapping,58:58.0,59:45.6,47,COMPLETE,14.12.54.65
mapping,59:15.9,59:45.9,29,COMPLETE,14.12.20.48
mapping,59:15.7,59:45.8,30,COMPLETE,14.12.60.251
mapping,59:15.7,59:46.8,31,COMPLETE,14.12.24.104
mapping,59:15.8,59:46.6,30,COMPLETE,14.12.62.200
mapping,59:16.2,59:46.2,29,COMPLETE,14.12.24.82
mapping,59:16.4,59:46.8,30,COMPLETE,14.12.59.69
mapping,59:16.6,59:46.9,30,COMPLETE,14.12.50.201
mapping,59:16.5,59:46.7,30,COMPLETE,14.12.51.122
mapping,59:16.9,59:47.0,30,COMPLETE,14.12.57.226
mapping,59:17.0,59:47.7,30,COMPLETE,14.12.23.56
mapping,59:17.6,59:45.8,28,COMPLETE,14.12.19.124
mapping,59:17.9,59:46.0,28,COMPLETE,14.12.62.252
mapping,59:18.3,59:45.9,27,COMPLETE,14.12.17.121
mapping,59:18.5,59:47.6,29,COMPLETE,14.12.19.7
mapping,59:18.5,59:47.3,28,COMPLETE,14.12.53.135
mapping,59:20.3,59:47.6,27,COMPLETE,14.12.49.102
mapping,59:21.3,59:47.3,26,COMPLETE,14.12.57.26
mapping,58:21.6,59:49.9,88,COMPLETE,14.12.16.27
mapping,58:57.6,59:49.2,51,COMPLETE,14.12.57.249
mapping,59:15.7,59:47.8,32,COMPLETE,14.12.21.136
mapping,59:15.8,59:48.5,32,COMPLETE,14.12.57.17
mapping,59:16.1,59:48.3,32,COMPLETE,14.12.50.31
mapping,59:16.8,59:48.3,31,COMPLETE,14.12.59.151
mapping,59:17.0,59:49.2,32,COMPLETE,14.12.59.106
mapping,59:17.4,59:47.8,30,COMPLETE,14.12.60.38
mapping,59:17.4,59:47.5,30,COMPLETE,14.12.54.254
mapping,59:18.1,59:48.9,30,COMPLETE,14.12.49.149
mapping,59:18.5,59:48.6,30,COMPLETE,14.12.17.34
mapping,59:18.5,59:48.8,30,COMPLETE,14.12.59.225
