job,start_time,end_time,elapse,state,ip,,,
bam_merge_and_sort,06:09.2,06:24.8,15,COMPLETE,14.12.59.57,,,
bam_merge_and_sort,06:09.1,06:24.0,14,COMPLETE,14.12.62.83,,,
bam_merge_and_sort,06:08.9,06:25.3,16,COMPLETE,14.12.24.253,,,
bam_merge_and_sort,06:09.1,06:23.7,14,COMPLETE,14.12.31.54,,,
bam_merge_and_sort,06:09.2,06:24.9,15,COMPLETE,14.12.27.167,,,
bam_merge_and_sort,06:09.4,06:25.4,16,COMPLETE,14.12.20.213,,,
bam_merge_and_sort,06:09.3,06:23.7,14,COMPLETE,14.12.51.52,,,
bam_merge_and_sort,06:09.3,06:23.6,14,COMPLETE,14.12.16.188,,,
bam_merge_and_sort,06:09.3,06:25.0,15,COMPLETE,14.12.63.20,,,
bam_merge_and_sort,06:09.5,06:23.8,14,COMPLETE,14.12.19.43,,,
bam_merge_and_sort,06:09.1,06:24.2,15,COMPLETE,14.12.16.183,,,
bam_merge_and_sort,06:09.4,06:25.7,16,COMPLETE,14.12.25.24,,,
bam_merge_and_sort,06:09.5,06:24.0,14,COMPLETE,14.12.19.239,,,
bam_merge_and_sort,06:09.3,06:23.8,14,COMPLETE,14.12.52.86,,,
bam_merge_and_sort,06:09.4,06:24.7,15,COMPLETE,14.12.28.73,,,
bam_merge_and_sort,06:09.3,06:24.1,14,COMPLETE,14.12.60.86,,,
bam_merge_and_sort,06:09.4,06:24.5,15,COMPLETE,14.12.23.1,,,
bam_merge_and_sort,06:09.5,06:23.7,14,COMPLETE,14.12.31.123,,,
bam_merge_and_sort,06:09.0,06:23.9,14,COMPLETE,14.12.49.13,,,
bam_merge_and_sort,06:09.4,06:23.8,14,COMPLETE,14.12.28.34,,,
bam_merge_and_sort,06:09.4,06:25.5,16,COMPLETE,14.12.29.253,,,
bam_merge_and_sort,06:09.5,06:25.7,16,COMPLETE,14.12.22.183,,,
bam_merge_and_sort,06:09.4,06:25.4,16,COMPLETE,14.12.26.6,,,
bam_merge_and_sort,06:09.3,06:26.7,17,COMPLETE,14.12.24.158,,,
bam_merge_and_sort,06:09.2,06:26.6,17,COMPLETE,14.12.31.184,,,
bam_merge_and_sort,06:09.1,06:26.6,17,COMPLETE,14.12.53.68,,,
bam_merge_and_sort,06:09.0,06:25.9,16,COMPLETE,14.12.23.158,,,
bam_merge_and_sort,06:09.1,06:26.3,17,COMPLETE,14.12.54.83,,,
bam_merge_and_sort,06:09.1,06:25.8,16,COMPLETE,14.12.23.193,,,
bam_merge_and_sort,06:09.2,06:27.6,18,COMPLETE,14.12.25.178,,,
bam_merge_and_sort,06:09.1,06:26.5,17,COMPLETE,14.12.61.177,,,
bam_merge_and_sort,06:08.7,06:26.4,17,COMPLETE,14.12.16.78,,,
bam_merge_and_sort,06:09.1,06:26.2,17,COMPLETE,14.12.51.243,,,
bam_merge_and_sort,06:08.9,06:25.9,16,COMPLETE,14.12.25.188,,,
bam_merge_and_sort,06:09.5,06:26.8,17,COMPLETE,14.12.23.7,,,
bam_merge_and_sort,06:09.2,06:25.8,16,COMPLETE,14.12.59.69,,,
bam_merge_and_sort,06:09.1,06:26.2,17,COMPLETE,14.12.63.96,,,
bam_merge_and_sort,06:09.3,06:26.7,17,COMPLETE,14.12.27.42,,,
bam_merge_and_sort,06:09.3,06:27.8,18,COMPLETE,14.12.31.134,,,
bam_merge_and_sort,06:09.4,06:26.8,17,COMPLETE,14.12.23.1,,,
bam_merge_and_sort,06:09.4,06:26.0,16,COMPLETE,14.12.28.73,,,
bam_merge_and_sort,06:09.1,06:26.7,17,COMPLETE,14.12.53.254,,,
bam_merge_and_sort,06:09.4,06:27.1,17,COMPLETE,14.12.24.158,,,
bam_merge_and_sort,06:09.5,06:26.8,17,COMPLETE,14.12.30.87,,,
bam_merge_and_sort,06:09.2,06:26.0,16,COMPLETE,14.12.52.172,,,
bam_merge_and_sort,06:09.5,06:26.5,17,COMPLETE,14.12.31.194,,,
bam_merge_and_sort,06:09.4,06:26.0,16,COMPLETE,14.12.22.163,,,
bam_merge_and_sort,06:09.3,06:26.0,16,COMPLETE,14.12.50.48,,,
bam_merge_and_sort,06:09.5,06:26.8,17,COMPLETE,14.12.16.76,,,
bam_merge_and_sort,06:09.4,06:26.3,16,COMPLETE,14.12.22.4,,,
bam_merge_and_sort,06:09.1,06:25.7,16,COMPLETE,14.12.31.54,,,
bam_merge_and_sort,06:09.1,06:28.1,19,COMPLETE,14.12.31.84,,,
bam_merge_and_sort,06:09.4,06:29.9,20,COMPLETE,14.12.21.21,,,
bam_merge_and_sort,06:09.5,06:28.4,18,COMPLETE,14.12.23.7,,,
