job,start_time,end_time,elapse,state,ip
vcf,07:31.3,10:46.6,195,COMPLETE,14.12.53.254
vcf,09:05.2,10:47.8,102,COMPLETE,14.12.57.109
vcf,09:05.6,10:46.6,100,COMPLETE,14.12.22.203
vcf,09:06.1,10:47.8,101,COMPLETE,14.12.26.34
vcf,09:06.3,10:47.4,101,COMPLETE,14.12.56.81
vcf,09:06.8,10:46.7,99,COMPLETE,14.12.55.201
vcf,09:07.8,10:47.9,100,COMPLETE,14.12.53.128
vcf,09:08.3,10:47.9,99,COMPLETE,14.12.16.27
vcf,09:09.1,10:48.5,99,COMPLETE,14.12.21.252
vcf,09:09.6,10:48.4,98,COMPLETE,14.12.54.83
vcf,09:10.0,10:48.4,98,COMPLETE,14.12.21.136
vcf,07:31.2,10:50.1,198,COMPLETE,14.12.17.181
vcf,07:31.5,10:50.0,198,COMPLETE,14.12.63.20
vcf,07:31.4,10:49.2,197,COMPLETE,14.12.19.7
vcf,09:08.8,10:48.7,99,COMPLETE,14.12.25.99
vcf,09:09.1,10:50.0,100,COMPLETE,14.12.26.115
vcf,09:11.6,10:49.3,97,COMPLETE,14.12.54.254
vcf,09:12.3,10:50.2,97,COMPLETE,14.12.51.104
vcf,09:12.8,10:50.6,97,COMPLETE,14.12.54.244
vcf,09:14.5,10:50.1,95,COMPLETE,14.12.59.69
vcf,09:14.8,10:49.2,94,COMPLETE,14.12.19.124
vcf,09:14.8,10:50.0,95,COMPLETE,14.12.62.214
vcf,09:15.5,10:49.3,93,COMPLETE,14.12.56.136
vcf,07:31.2,10:51.5,200,COMPLETE,14.12.62.57
vcf,09:08.8,10:50.8,102,COMPLETE,14.12.30.72
vcf,09:13.2,10:53.2,99,COMPLETE,14.12.31.194
vcf,09:13.3,10:52.9,99,COMPLETE,14.12.19.44
vcf,09:13.8,10:52.3,98,COMPLETE,14.12.54.178
vcf,09:13.9,10:51.9,97,COMPLETE,14.12.57.208
vcf,09:14.7,10:51.3,96,COMPLETE,14.12.62.107
vcf,09:14.8,10:52.0,97,COMPLETE,14.12.57.26
vcf,09:15.0,10:52.2,97,COMPLETE,14.12.58.146
vcf,09:14.8,10:51.8,96,COMPLETE,14.12.48.170
vcf,09:17.7,10:52.5,94,COMPLETE,14.12.17.231
vcf,09:18.5,10:53.0,94,COMPLETE,14.12.23.49
vcf,09:11.9,10:54.1,102,COMPLETE,14.12.16.103
vcf,09:14.9,10:53.9,98,COMPLETE,14.12.30.19
vcf,09:15.2,10:53.7,98,COMPLETE,14.12.28.73
vcf,09:15.8,10:53.7,97,COMPLETE,14.12.62.116
vcf,09:16.6,10:54.5,97,COMPLETE,14.12.59.225
vcf,09:16.7,10:53.4,96,COMPLETE,14.12.55.233
vcf,09:16.8,10:54.5,97,COMPLETE,14.12.61.170
vcf,09:17.3,10:53.6,96,COMPLETE,14.12.24.28
vcf,09:19.0,10:54.6,95,COMPLETE,14.12.62.200
vcf,09:19.4,10:54.4,95,COMPLETE,14.12.48.211
vcf,09:20.1,10:53.5,93,COMPLETE,14.12.48.62
vcf,09:20.5,10:54.4,93,COMPLETE,14.12.59.14
vcf,09:10.1,10:55.5,105,COMPLETE,14.12.23.158
vcf,09:13.2,10:56.7,103,COMPLETE,14.12.51.75
vcf,09:13.8,10:57.6,103,COMPLETE,14.12.31.123
vcf,09:16.9,10:55.4,98,COMPLETE,14.12.23.248
vcf,09:18.5,10:56.7,98,COMPLETE,14.12.24.45
vcf,09:19.2,10:56.6,97,COMPLETE,14.12.20.169
vcf,09:19.4,10:57.3,97,COMPLETE,14.12.48.216
vcf,09:19.4,10:56.3,96,COMPLETE,14.12.49.186
vcf,09:19.7,10:57.0,97,COMPLETE,14.12.61.177
vcf,09:21.7,10:56.4,94,COMPLETE,14.12.25.191
vcf,07:31.7,10:59.8,208,COMPLETE,14.12.16.239
vcf,07:31.0,10:57.1,206,COMPLETE,14.12.48.13
vcf,09:14.2,10:59.5,105,COMPLETE,14.12.16.148
vcf,09:19.5,10:58.9,99,COMPLETE,14.12.27.167
vcf,09:21.0,10:58.0,96,COMPLETE,14.12.18.207
vcf,09:22.3,10:59.1,96,COMPLETE,14.12.29.13
vcf,09:22.6,10:58.2,95,COMPLETE,14.12.28.251
vcf,09:23.3,10:58.4,95,COMPLETE,14.12.58.45
vcf,09:24.4,10:58.3,93,COMPLETE,14.12.23.69
vcf,09:24.9,10:58.8,93,COMPLETE,14.12.61.103
vcf,09:25.7,10:58.7,93,COMPLETE,14.12.56.158
vcf,09:09.6,11:00.2,110,COMPLETE,14.12.20.213
vcf,09:15.9,11:00.4,104,COMPLETE,14.12.23.187
vcf,09:19.8,11:02.0,102,COMPLETE,14.12.16.76
vcf,09:24.0,10:59.9,95,COMPLETE,14.12.62.136
vcf,09:24.6,10:59.9,95,COMPLETE,14.12.28.248
vcf,09:25.4,11:01.5,96,COMPLETE,14.12.24.185
vcf,09:26.0,11:01.0,94,COMPLETE,14.12.20.48
vcf,09:26.5,11:01.5,95,COMPLETE,14.12.59.108
vcf,09:28.2,11:00.8,92,COMPLETE,14.12.57.70
vcf,07:31.5,11:03.8,212,COMPLETE,14.12.20.213
vcf,07:31.3,11:03.4,212,COMPLETE,14.12.26.11
vcf,07:31.6,11:02.8,211,COMPLETE,14.12.30.87
vcf,09:11.1,11:02.8,111,COMPLETE,14.12.21.21
vcf,09:13.6,11:01.8,108,COMPLETE,14.12.21.185
vcf,09:15.4,11:03.7,108,COMPLETE,14.12.17.4
vcf,09:16.5,11:03.6,107,COMPLETE,14.12.25.188
vcf,09:17.2,11:03.1,105,COMPLETE,14.12.25.24
vcf,09:17.9,11:04.0,106,COMPLETE,14.12.28.34
